path,ext,bytes,classification,reason,sha256
assets/images/memory/santanna-monument.jpg,.jpg,543208,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,77d3b683bf7bb84ced095eabfb4f773f7313a87f3ffb0cbe4597c3bcfd6bf06f
assets/images/memory/saint-genis-memorial.jpg,.jpg,2747061,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,0da7745dde13b76a39daaf61223b5fc6eb20cae35259ca97aab1803bacbb5859
assets/images/memory/kolbe-niepokalanow.jpg,.jpg,133852,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,180b768422aebae8a053ee0d6dffcafb84a57c3d1722d5f24ef2a9ed97919c1f
assets/images/memory/franciszek-gajowniczek.jpg,.jpg,87626,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,462a5c75a0688916fe51cc33386236235b1f1cce8e7cc9fdb2d0cdda27f886bb
assets/images/memory/raffy-indies-commemoration.jpg,.jpg,247883,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,508c791fb6b9b56c4001dddfa34f04315a263078d1207a169e1c67b6f69f9d90
assets/images/memory/edith-stein.jpeg,.jpeg,201032,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,789d870c8f11ef16c66039b88ef6538c816d2ae8aabc1e6eb94a4de3136cfe65
assets/images/memory/edith-stein-carmel.jpg,.jpg,306137,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,163c7c7fd560122376c7d671e2f39e2103cc252f01f11f48e9d41fe4e86cc947
assets/images/memory/indonesia-proclamation-1945.jpg,.jpg,308435,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,ce55c945501e61b9c213d752b00040a867adfbb2a180a2257428e511e4ff81dd
assets/images/memory/edith-stein-echt-memorial.jpg,.jpg,400231,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,78c3ebfdfb898315330e0f3abceef24ef149ae8d95340388724b4cf8288247fc
assets/images/memory/canal-hotel-2003.jpg,.jpg,50415,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,b1b9b83a37177d84508dce680661f84632cbb740dcbe3842620783462a301000
assets/images/memory/edith-stein-student.jpg,.jpg,1305933,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,5a3e01d6b5860bed407aaf7c1e3dbfd457331472d54f6be923f352893bfae9ea
assets/images/research/withagen/bergen-1741-map.jpg,.jpg,118206,UNKNOWN_IMAGE_PROVENANCE,image provenance not encoded reliably,0b3d5c0e44b28022945dc6afab2a36b3d4bef96518ddad2889606b9b68a0edea
